Rozliseni;Cislo;VS;Dodavatel;IcDodavatele;UcelPlatby;DatumPrijeti;DatumSplatnosti;DatumUhrady;Mena;Fakturovano;Uhrada;KodStredisko;NazevStredisko;KodRozpPolozka;NazevRozpPolozka
"F";449;41201197;"OKsystem s.r.o.";"27373665";"SLUŽBA VEDENÍ MZDOVÉ AGENDY 03/20";02.04.2020;15.04.2020;09.04.2020;"CZK";98857.00;98857.00;"160";"OŘLZ  /  ODBOR ŘÍZENÍ LIDSKÝCH ZDROJŮ";"5169";"Nákup ostatních služeb"
"F";453;5000100003;"NÁROD.PAMÁTKOVÝ ÚSTAV";"75032333";"PŘEFAKTURACE NÁKL.ZA RESTAUROVÁNÍ MOBILIÁŘE";06.04.2020;30.04.2020;22.04.2020;"CZK";69400.00;69400.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";458;20200104;"Krátký Milan";"10319611";"ZAHRADNICKÉ PRÁCE";06.04.2020;01.05.2020;22.04.2020;"CZK";72940.00;72940.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";464;1727866413;"CCS ČESKÁ SPOLEČNOST PRO P.K.";"27916693";"PH 03/20";08.04.2020;14.04.2020;17.04.2020;"CZK";95101.78;95101.78;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5156";"Pohonné hmoty a maziva"
"F";468;2020015;"Krátký Milan";"10319611";"ZAHRADNICKÉ PRÁCE";08.04.2020;06.05.2020;22.04.2020;"CZK";110302.00;110302.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";469;11200473;"YOUR SYSTEM, spol.s r.o.";"00174939";"SLUŽBY";08.04.2020;03.05.2020;20.04.2020;"CZK";179842.30;179842.30;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";470;8003199968;"Vodafone Czech Republic a.s.";"25788001";"SLUŽBY 03/20";08.04.2020;30.04.2020;17.04.2020;"CZK";62736.55;62736.55;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";474;190101738;"OFFICE-CENTRUM s.r.o.";"27143562";"SERVISNÍ A MATERIÁLOVÁ PODPORA";09.04.2020;10.05.2020;20.04.2020;"CZK";140539.69;140539.69;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";476;9464002348;"T-MOBIL CZECH REPUBLIC AS";"64949681";"SLUŽBY";09.04.2020;01.05.2020;30.04.2020;"CZK";202662.90;202662.90;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5162";"Služby elektronických komunikací"
"F";477;20200216;"PREMIO INVEST s.r.o.";"26746590";"ÚKLIDOVÉ SLUŽBY 03/20";15.04.2020;09.05.2020;22.04.2020;"CZK";156074.88;156074.88;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";478;2020170205;"Metrostav Facility s.r.o.";"25731424";"SERVISNÍ A MATERIÁLOVÁ PODPORA 03/20";15.04.2020;06.05.2020;24.04.2020;"CZK";126994.34;126994.34;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5171";"Opravy a udržování"
"F";482;110200822;"Agentura PANCÉŘ s.r.o.";"26155788";"OSTRAHA BUDOV - NP";17.04.2020;14.04.2020;23.04.2020;"CZK";250254.62;250254.62;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";483;110200900;"Agentura PANCÉŘ s.r.o.";"26155788";"OSTRAHA BUDOV - MH";17.04.2020;21.04.2020;23.04.2020;"CZK";174158.93;174158.93;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5169";"Nákup ostatních služeb"
"F";486;200100004;"RSOF s.r.o.";"28135679";"SLUŽBY 03/20";20.04.2020;15.05.2020;24.04.2020;"CZK";95590.00;95590.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";487;300000067;"ASD SOFTWARE SRO";"62363930";"SLUŽBY I.Q 2020";20.04.2020;06.05.2020;28.04.2020;"CZK";60621.00;60621.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";488;9030363080;"PRAŽSKÁ ENERGETIKA AS";"60193913";"EL. ENERGIE";20.04.2020;30.04.2020;30.04.2020;"CZK";80745.19;80745.19;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";490;4102290301;"PRAŽ.PLYNÁRENSKÁ AS";"60193492";"ZEMNÍ PLYN";20.04.2020;29.04.2020;30.04.2020;"CZK";139908.60;139908.60;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5153";"Plyn"
"F";491;4102280301;"PRAŽ.PLYNÁRENSKÁ AS";"60193492";"ZEMNÍ PLYN";20.04.2020;29.04.2020;30.04.2020;"CZK";96106.65;96106.65;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5153";"Plyn"
"F";492;1102792104;"EP ENERGY TRADING, a.s.";"27386643";"EL. ENERGIE";20.04.2020;29.04.2020;30.04.2020;"CZK";89671.00;89671.00;"441";"OH  /  ODBOR HOSPODÁŘSKÝ";"5154";"Elektrická energie"
"F";507;182020;"Šindler Milan  Ing. arch.";"13501402";"EXPERTIZNÍ POSUDEK";24.04.2020;04.05.2020;30.04.2020;"CZK";58890.70;58890.70;"443";"OE  /  ODDĚLENÍ INVESTIC";"5166";"Konzultační, poradenské a právní služby"
"F";516;20118;"MABI Information Security";"24760005";"SLUŽBY";04.05.2020;21.05.2020;12.05.2020;"CZK";87703.22;87703.22;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
"F";517;2000001497;"COMPAREX CZ s.r.o.";"63077124";"SLUŽBY";04.05.2020;30.05.2020;19.05.2020;"CZK";59895.00;59895.00;"442";"SOITSS/SAM.ODD.INFORMAČNÍCH TECHNOL.A SPIS. SLUŽBY";"5168";"Zpracování dat a služby související s inf.a komunik.technol."
